"AJAX Request Timeout","AJAX Request Timeout"
"Allowed file types: JPG, JPEG, GIF, PNG, SVG<br/>Tip: you can easily create your own AJAX loader from <a href=""http://ajaxload.info/"" target=""_blank"">here</a>","Allowed file types: JPG, JPEG, GIF, PNG, SVG<br/>Tip: you can easily create your own AJAX loader from <a href=""http://ajaxload.info/"" target=""_blank"">here</a>"
"Animation used when the scroll-to-top button is clicked","Animation used when the scroll-to-top button is clicked"
"Automatic","Automatic"
"Automatic each X pages","Automatic each X pages"
"Automatic up to X pages, then manual","Automatic up to X pages, then manual"
"Continue Button Text","Continue Button Text"
"Default (%1)","Default (%1)"
"Display a text just after the loader image","Display a text just after the loader image"
"Distance from top before showing element","Distance from top before showing element"
"Enable Infinite Scroll","Enable Infinite Scroll"
"Enable Scroll-to-top Button","Enable Scroll-to-top Button"
"For more information about jQuery easings, go to the <a href=""https://api.jqueryui.com/easings/"" target=""_blank"">official jQuery UI documentation</a>","For more information about jQuery easings, go to the <a href=""https://api.jqueryui.com/easings/"" target=""_blank"">official jQuery UI documentation</a>"
"In hexadecimal (e.g. #858585). Leave empty to use CSS stylesheet.","In hexadecimal (e.g. #858585). Leave empty to use CSS stylesheet."
"In hexadecimal (e.g. #303030). Leave empty to use CSS stylesheet.","In hexadecimal (e.g. #303030). Leave empty to use CSS stylesheet."
"In milliseconds, by default 1200 (= 1.2 second)","In milliseconds, by default 1200 (= 1.2 second)"
"In milliseconds, by default 10000 (= 10 seconds)","In milliseconds, by default 10000 (= 10 seconds)"
"In pixels, by default 20","In pixels, by default 20"
"In pixels, by default 400","In pixels, by default 400"
"Infinite Scroll","Infinite Scroll"
"Infinite Scroll Section","Infinite Scroll Section"
"Loader Image","Loader Image"
"Manual","Manual"
"Offset relative to the products wrapper","Offset relative to the products wrapper"
"Page Limit (X value)","Page Limit (X value)"
"Preload Next Page","Preload Next Page"
"Preload next page to reduce the loading time when the user scrolls down the page. Very useful to warm the Full Page Cache.","Preload next page to reduce the loading time when the user scrolls down the page. Very useful to warm the Full Page Cache."
"Scroll Mode","Scroll Mode"
"Scroll-to-top Button Color","Scroll-to-top Button Color"
"Scroll-to-top Button Color On Hover","Scroll-to-top Button Color On Hover"
"Scroll-to-top Distance","Scroll-to-top Distance"
"Scroll-to-top Easing","Scroll-to-top Easing"
"Scroll-to-top Easing Duration","Scroll-to-top Easing Duration"
"Scroll-to-top Offset","Scroll-to-top Offset"
"Shopigo Extensions","Shopigo Extensions"
"Show Text Loader","Show Text Loader"
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
"Text Loader","Text Loader"
"Use Custom Loader Image","Use Custom Loader Image"